,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
31,Keshav Mahavidyalaya,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.9,22,255,2025,"₹ 53,920","5,65,000","10,80,000","UGC, MHRD "
32,Mithibai College of Arts,BA,BA Psychology, Mumbai, Maharashtra,4.1,23,255,2025,"₹ 78,000",,"12,88,000","AICTE, UGC "
33,Ramanujan College,BA,BA, New Delhi, Delhi NCR,4,24,255,2025,"₹ 55,260","5,13,000","12,00,000",UGC 
34,Christ University,BA,BA Psychology, Bangalore, Karnataka,4.1,25,255,2025,"₹ 3,98,000","7,00,000","32,00,000","AICTE, UGC, NBA "
35,Sri Guru Gobind Singh College of Commerce,BA,BA {Hons.} Business Economics, New Delhi, Delhi NCR,4.1,26,255,2025,"₹ 1,61,610","5,30,000","23,00,000",
36,Delhi College of Arts and Commerce,BA,BA, New Delhi, Delhi NCR,4,27,255,2025,"₹ 40,200","1,83,333","22,00,000",UGC 
37,Mount Carmel College Autonomous,BA,BA Psychology, Bangalore, Karnataka,4.2,28,255,2025,"₹ 3,62,300","5,50,000","24,80,000",UGC 
38,Zakir Husain Delhi College,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.8,29,255,2025,"₹ 57,309",,,
39,St Joseph's University,BA,BA International Relations, Bangalore, Karnataka,4.1,30,255,2025,"₹ 3,56,000",,,"UGC, MHRD "
40,Shaheed Bhagat Singh College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.9,31,255,2025,"₹ 62,025","5,61,000","23,05,000",
41,Stella Maris College,BA,B.V.A, Chennai, Tamil Nadu,4.1,32,255,2025,"₹ 1,63,280",,,UGC 
42,Lakshmibai College,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.6,33,255,2025,"₹ 46,779","3,00,000","9,00,000",AICTE 
43,Shaheed Rajguru College of Applied Sciences for Women,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.9,34,255,2025,"₹ 77,040","5,50,000","36,50,000",UGC 
44,Women's Christian College,BA,BA English, Chennai, Tamil Nadu,3.8,35,255,2025,"₹ 1,52,382",,,UGC 
45,Kristu Jayanti University,BA,BA Psychology, Bangalore, Karnataka,4.1,36,255,2025,"₹ 2,45,000",,,"AICTE, BCI, UGC, ACCA "
46,Fergusson College,BA,BA Psychology, Pune, Maharashtra,4.1,37,255,2025,"₹ 5,560",,,UGC 
47,Maitreyi College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.9,38,255,2025,"₹ 49,161","5,70,000","24,80,000",
